"Name","STN","pVal"
"AT2G25830.1","-1.0476","0.0258"
"AT1G76810.1","-1.0476","0.0258"
"sum72","-1.0476","0.0258"
"ATCG01090.1","-1.0476","0.0258"
"AT4G38460.1","-1.0476","0.0258"
"AT1G45201.1","-1.0476","0.0258"
"AT1G76180.1","-1.0476","0.0258"
"AT3G01910.1","1.0439","0.026"
"AT4G13200.1","-1.0439","0.0262"
"AT5G13980.1","1.0393","0.0264"
"AT5G40450.1","-1.0375","0.0267"
"AT1G16720.1","1.0298","0.0271"
"AT4G10480.1","-1.0298","0.0272"
"AT5G26570.1","1.026","0.0274"
"AT1G09630.1","1.0146","0.028"
"AT1G50200.1","1.0136","0.028"
"AT2G25450.1","1.0133","0.0281"
"AT3G05900.1","1.0091","0.0283"
"ATCG01100.1","-1.0091","0.0283"
"AT5G19220.1","1.0077","0.0283"
"AT1G64790.1","-1.0058","0.0285"
"AT1G26630.1","1.0044","0.0285"
"sum208","1.0017","0.0286"
"AT3G08030.1","1.0003","0.0287"
"AT1G62020.1","1.0001","0.0288"
"AT3G54890.1","-0.9994","0.0289"
"AT1G53310.1","0.9978","0.0289"
"AT5G66190.1","-0.9954","0.0291"
"AT2G36250.1","0.9942","0.0292"
"AT5G55220.1","0.9939","0.0292"
"AT5G60640.1","0.9931","0.0292"
"sum33","0.9908","0.0294"
"AT3G54660.1","0.9906","0.0295"
"AT1G60710.1","0.9906","0.0295"
"AT1G74910.1","0.9906","0.0295"
"AT4G03280.1","-0.9838","0.03"
"AT4G18810.1","0.9798","0.0302"
"AT5G12860.1","-0.9787","0.0304"
"AT5G51970.1","0.9741","0.0309"
"AT2G04030.1","0.9732","0.0312"
"AT1G48600.1","0.9711","0.0315"
"AT2G35490.1","0.9621","0.0318"
"AT1G09795.1","0.959","0.0322"
"AT4G31390.1","0.9576","0.0322"
"AT5G04360.1","0.9576","0.0322"
"AT1G32200.1","0.9576","0.0322"
"AT5G60160.1","0.9576","0.0322"
"AT3G16950.1","0.9576","0.0322"
"sum62","0.9576","0.0322"
"AT5G55710.1","-0.9576","0.0343"
"AT2G36060.1","-0.9576","0.0343"
"AT2G18710.1","-0.9576","0.0343"
"AT4G11220.1","-0.9576","0.0343"
"AT2G38170.1","-0.9576","0.0343"
"sum115","0.9543","0.0343"
"AT2G19860.1","0.951","0.0346"
"AT4G37910.1","0.9494","0.0346"
"AT3G57290.1","0.9448","0.0349"
"AT3G63520.1","0.9448","0.0349"
"AT1G74920.1","0.9423","0.0351"
"AT5G60600.1","0.9394","0.0353"
"AT3G02360.1","0.9306","0.0359"
"AT5G26742.1","0.9288","0.0364"
"AT4G13930.1","0.9182","0.0372"
"AT1G13320.1","0.9149","0.0376"
"AT1G36160.1","-0.9141","0.0376"
"AT4G35450.1","0.9141","0.0376"
"AT3G57610.1","0.9141","0.0376"
"AT4G24620.1","0.9134","0.0377"
"AT2G30520.1","0.9105","0.0378"
"sum95","0.9073","0.0388"
"AT3G23990.1","0.9064","0.0389"
"AT4G32520.1","0.9055","0.039"
"AT1G08200.1","0.9051","0.0392"
"AT2G22230.1","-0.8994","0.0401"
"AT5G09810.1","0.8994","0.0401"
"AT1G30360.1","-0.8936","0.0406"
"AT2G40100.1","-0.893","0.0407"
"AT5G03300.1","0.8918","0.0408"
"AT4G04040.1","0.891","0.0409"
"AT3G08590.1","0.8887","0.041"
"sum127","0.8877","0.041"
"AT3G56070.1","0.8875","0.041"
"AT3G42050.1","0.8875","0.041"
"AT1G08520.1","0.8872","0.0412"
"AT1G01320.1","-0.8849","0.0415"
"AT3G04840.1","-0.8797","0.0422"
"AT4G17560.1","0.879","0.0422"
"AT4G39710.1","-0.8725","0.0426"
"AT3G19760.1","0.8714","0.0426"
"AT2G36880.1","0.8711","0.0426"
"AT3G22200.1","0.8688","0.0428"
"AT5G10920.1","0.8688","0.0428"
"AT1G65960.2","0.8671","0.0431"
"AT1G12270.1","0.8615","0.0437"
"AT1G48850.1","0.8615","0.0437"
"AT2G05830.1","0.8615","0.0437"
"AT4G12830.1","0.8615","0.0437"
"AT1G52000.1","0.8615","0.0437"
"AT5G48960.1","0.8615","0.0437"
"AT1G08550.1","0.8615","0.0437"
"AT3G59020.1","0.8615","0.0437"
"sum120","-0.8615","0.045"
"AT1G68680.1","-0.8615","0.045"
"AT3G21200.1","-0.8615","0.045"
"AT3G44590.1","-0.8615","0.045"
"AT2G04400.1","-0.8615","0.045"
"AT1G37130.1","-0.8615","0.045"
"AT4G35460.1","-0.8615","0.045"
"AT1G48920.1","-0.8615","0.045"
"AT5G23250.1","-0.8615","0.045"
"AT2G26250.1","-0.8615","0.045"
"AT3G07770.1","0.8612","0.0451"
"AT1G41830.1","-0.8605","0.0452"
"ATCG01110.1","-0.855","0.0456"
"AT5G36210.1","0.851","0.0458"
"AT2G35780.1","0.851","0.0458"
"AT5G22800.1","0.8504","0.0463"
"AT3G43300.2","-0.8504","0.0464"
"AT1G32060.1","0.8489","0.0464"
"AT2G21390.1","-0.8425","0.0469"
"sum71","0.8414","0.0471"
"AT1G50480.1","0.8399","0.0474"
"sum50","0.8398","0.0474"
"AT4G19170.1","0.8384","0.0475"
"AT4G01850.1","0.8359","0.0478"
"AT5G48230.1","0.8354","0.0479"
"AT3G52560.1","0.8354","0.0479"
"AT5G39320.1","0.8312","0.0484"
"AT3G16520.3","0.8259","0.049"
"AT5G35360.1","0.8253","0.0496"
"AT1G80480.1","0.8248","0.0496"
"AT2G26900.1","-0.8248","0.0501"
"AT2G41220.1","0.8211","0.0504"
"AT5G53480.1","0.8197","0.0504"
"AT4G24280.1","0.8192","0.0505"
"AT1G47128.1","0.8162","0.0509"
"AT3G14210.1","0.8156","0.0511"
"AT1G02280.1","-0.8143","0.0512"
"AT3G25860.1","0.809","0.0518"
"sum19","-0.8063","0.0519"
"sum126","0.8065","0.0519"
"AT4G16143.1","0.8039","0.0526"
"AT1G20950.1","0.801","0.0528"
"AT5G30510.1","0.7935","0.0535"
"AT4G17300.1","0.7933","0.0535"
"AT1G20960.1","-0.7933","0.0535"
"AT1G09640.1","0.792","0.0536"
"AT4G12800.1","-0.7906","0.0537"
"AT3G09810.1","0.7899","0.0538"
"AT3G22630.1","0.7892","0.0539"
"AT1G29670.1","-0.7848","0.0543"
"AT4G38740.1","0.7854","0.0543"
"AT1G78900.1","0.7844","0.0544"
"AT3G55800.1","0.7845","0.0544"
"AT5G17770.1","-0.7835","0.0546"
"AT4G36130.1","-0.7795","0.055"
"sum11","-0.7794","0.055"
"AT4G23100.1","0.7768","0.0553"
"AT4G13940.1","0.7716","0.0558"
"AT1G14610.1","0.7675","0.0562"
"AT1G52410.1","0.7675","0.0562"
"sum57","-0.7667","0.0564"
"AT3G23940.1","0.7668","0.0565"
"AT2G36460.1","0.7663","0.0566"
"sum35","0.7658","0.0566"
"AT1G08980.1","0.7623","0.0572"
"AT5G08570.1","0.7623","0.0572"
"AT3G55400.1","0.7623","0.0572"
"AT3G55010.1","-0.7623","0.0582"
"AT2G32520.1","0.758","0.0589"
"AT1G09210.1","0.758","0.0589"
"AT1G15340.1","0.758","0.0589"
"AT5G58440.1","0.758","0.0589"
"AT3G26900.1","0.758","0.0589"
"AT4G09020.1","0.758","0.0589"
"AT1G09830.1","0.758","0.0589"
"AT3G46100.1","0.758","0.0589"
"AT1G06820.1","0.758","0.0589"
"AT1G09430.1","0.758","0.0589"
"AT3G52500.1","0.758","0.0589"
"AT1G48860.1","0.758","0.0589"
"AT5G34850.1","0.758","0.0589"
"AT5G66420.1","0.758","0.0589"
"AT4G39660.1","0.758","0.0589"
"AT4G37550.1","0.758","0.0589"
"ATCG00170.1","-0.758","0.0654"
"AT1G16460.1","-0.758","0.0654"
"AT1G63610.1","-0.758","0.0654"
"AT3G61260.1","-0.758","0.0654"
"AT2G39970.1","-0.758","0.0654"
"AT4G23890.1","-0.758","0.0654"
"ATMG00510.1","-0.758","0.0654"
"sum112","-0.758","0.0654"
"AT4G37200.1","-0.758","0.0654"
"AT1G18170.1","-0.758","0.0654"
"AT3G21865.1","-0.758","0.0654"
"AT1G30400.1","-0.758","0.0654"
"AT2G20580.1","0.7568","0.0657"
"AT4G09650.1","0.7541","0.0658"
"AT1G72370.1","0.7522","0.0659"
"AT2G34460.1","-0.7513","0.066"
"AT1G17650.1","-0.7509","0.066"
"AT5G09660.1","-0.7497","0.0662"
"AT1G20620.1","-0.7486","0.0662"
"AT3G54050.1","0.7472","0.0667"
"AT5G28840.1","0.7457","0.0667"
"sum85","0.7446","0.0668"
"sum142","-0.7446","0.0672"
"AT1G12410.1","0.7419","0.0678"
"AT5G22580.1","0.7407","0.0678"
"AT2G25970.1","0.7363","0.0691"
"AT5G06060.1","0.7363","0.0691"
"AT2G37500.1","0.7363","0.0691"
"AT4G12730.1","0.7363","0.0691"
"AT3G49560.1","0.7363","0.0691"
"AT1G08480.1","0.7363","0.0691"
"AT5G63860.1","0.7363","0.0691"
"AT5G66090.1","0.7363","0.0691"
"AT5G16715.1","0.7363","0.0691"
"AT3G52155.1","0.7363","0.0691"
"AT2G30695.1","0.7363","0.0691"
"AT4G35860.1","0.7363","0.0691"
"AT5G44720.1","0.7363","0.0691"
"AT4G27500.1","-0.7363","0.0702"
"AT2G18040.1","-0.7363","0.0702"
"AT4G16390.1","0.7341","0.0708"
"AT4G38800.1","-0.7341","0.071"
"AT3G52930.1","0.7322","0.0714"
"AT1G78630.1","0.7319","0.0715"
"AT5G42390.1","0.7297","0.0716"
"AT1G62380.1","0.7284","0.0718"
"AT1G02500.1","0.7281","0.0718"
"ATCG00150.1","-0.726","0.0718"
"AT4G23600.1","0.7279","0.0718"
"AT2G36390.1","0.7253","0.072"
"AT3G55330.1","0.7162","0.0729"
"AT4G16155.1","0.7162","0.073"
"AT1G50250.1","0.7153","0.0732"
"AT2G39770.1","0.7133","0.0736"
"AT3G44620.1","0.7133","0.0736"
"AT1G74850.1","0.7133","0.0736"
"AT5G55480.1","-0.7133","0.0738"
"AT3G08580.1","-0.7123","0.0739"
"ATCG00340.1","-0.7119","0.0739"
"AT4G01690.1","0.7118","0.074"
"AT5G61790.1","0.7117","0.0741"
"AT3G59870.1","0.7083","0.0745"
"AT3G19820.1","-0.7066","0.0747"
"AT1G74470.1","0.7075","0.0747"
"AT2G24270.1","0.707","0.0748"
"AT1G34430.1","0.7061","0.075"
"sum74","0.7044","0.0755"
"AT2G33040.1","-0.7035","0.0756"
"sum138","0.7027","0.0759"
"AT2G01210.1","0.6957","0.0767"
"AT1G14810.1","0.6957","0.0767"
"AT3G03710.1","0.6957","0.0767"
"AT5G48300.1","0.6953","0.0769"
"sum29","-0.6918","0.0773"
"AT1G70730.1","0.6905","0.0775"
"sum204","0.6894","0.0775"
"sum41","0.6883","0.0778"
"AT4G26970.1","0.6866","0.0779"
"AT3G54470.1","0.6859","0.0782"
"AT3G26720.1","0.6859","0.0782"
"AT3G12050.1","0.6859","0.0782"
"AT3G55260.1","0.6859","0.0782"
"AT5G42740.1","0.6825","0.079"
"AT3G49120.1","0.6821","0.0791"
"AT1G63770.3","0.6816","0.0793"
"AT5G03690.2","0.68","0.0793"
